country,year,strike.volume,unemployment,inflation,left.parliament,centralization,density
Sweden,1952,32,2.4,7.7,52.2,0.875,NA
Sweden,1953,237,2.8,1.6,50,0.875,NA
Sweden,1954,10,2.6,0.8,50,0.875,NA
Sweden,1955,63,2.5,3.1,50,0.875,NA
Sweden,1956,2,1.5,4.5,50,0.875,NA
Sweden,1957,21,1.9,4.4,48.5,0.875,NA
Sweden,1958,6,2.5,4.4,50.2,0.875,NA
Sweden,1959,9,2,0.8,50.2,0.875,NA
Sweden,1960,7,1.8,4.1,50.2,0.875,72.1
Sweden,1961,1,1.7,2.2,51.3,0.875,72.4
Sweden,1962,2,1.5,4.8,51.3,0.875,72.9
Sweden,1963,8,1.7,2.9,51.3,0.875,66.1
Sweden,1964,11,1.6,3.4,51.3,0.875,66.7
Sweden,1965,1,1.2,5,51.9,0.875,66.3
Sweden,1966,109,1.6,6.4,51.9,0.875,65.9
Sweden,1967,0,2.1,4.3,51.9,0.875,67.5
Sweden,1968,0,2.2,1.9,51.9,0.875,67.9
Sweden,1969,34,1.9,2.7,54.9,0.875,68.5
Sweden,1970,45,1.5,7,54.9,0.875,67.7
Sweden,1971,242,2.5,7.4,51.4,0.875,70.0
Sweden,1972,3,2.7,6,51.4,0.875,71.4
Sweden,1973,3,2.5,6.7,51.4,0.875,72.5
Sweden,1974,16,2,9.9,50,0.875,73.5
Sweden,1975,98,1.6,9.8,50,0.875,74.5
Sweden,1976,7,1.6,10.3,50,0.875,73.9
Sweden,1977,23,1.8,11.5,48.4,0.875,76.0
Sweden,1978,10,2.2,9.9,48.4,0.875,77.0
Sweden,1979,7,2.1,7.2,48.4,0.875,77.3
Sweden,1980,1150,2,13.7,49.9,0.875,78.0
Sweden,1981,54,2.5,12.1,49.9,0.875,78.3
Sweden,1982,0,3.1,8.6,49.9,0.875,78.9
Sweden,1983,9,3.5,8.9,53.3,0.875,79.6
Sweden,1984,8,3.1,8,53.3,0.875,80.8
Sweden,1985,127,2.8,7.4,53.3,0.875,81.3
Switzerland,1951,5,0.8,4.8,28.4,0.500,NA
Switzerland,1952,7,0.9,2.5,27.6,0.500,NA
Switzerland,1953,35,0.9,-0.6,27.6,0.500,NA
Switzerland,1954,15,0.8,0.7,27.6,0.500,NA
Switzerland,1955,1,0.5,0.9,27.6,0.500,NA
Switzerland,1956,1,0.6,1.5,29.1,0.500,NA
Switzerland,1957,0,0.4,2,29.1,0.500,NA
Switzerland,1958,1,0.4,1.8,29.1,0.500,NA
Switzerland,1959,1,0.4,-0.7,29.1,0.500,NA
Switzerland,1960,1,0,1.4,27.6,0.500,36.1
Switzerland,1961,0,0,1.9,27.6,0.500,35.2
Switzerland,1962,1,0,4.3,27.6,0.500,34.4
Switzerland,1963,32,0,3.4,27.6,0.500,33.6
Switzerland,1964,2,0,3.1,28.5,0.500,33.2
Switzerland,1965,0,0,3.4,28.5,0.500,32.8
Switzerland,1966,0,0,4.8,28.5,0.500,32.4 
Switzerland,1967,1,0,4,28.5,0.500,31.3
Switzerland,1968,1,0,2.4,28,0.500,30.6
Switzerland,1969,0,0,2.5,28,0.500,30.1
Switzerland,1970,1,0,3.6,28,0.500,28.9
Switzerland,1971,3,0,6.6,28,0.500,29.2
Switzerland,1972,1,0,6.7,25.5,0.500,28.9
Switzerland,1973,0,0,8.8,25.5,0.500,28.7
Switzerland,1974,1,0,9.8,25.5,0.500,29.0
Switzerland,1975,1,0.4,6.7,25.5,0.500,32.3
Switzerland,1976,8,0.7,1.7,29.5,0.500,33.8
Switzerland,1977,2,0.4,1.3,29.5,0.500,33.1
Switzerland,1978,2,0.3,1.1,29.5,0.500,32.5
Switzerland,1979,1,0.3,3.7,29.5,0.500,31.9
Switzerland,1980,2,0.2,4,27,0.500,31.1
Switzerland,1981,0,0.2,6.5,27,0.500,30.3
Switzerland,1982,0,0.4,5.7,27,0.500,29.7
Switzerland,1983,2,0.9,3,27,0.500,29.6
Switzerland,1984,0,1.1,2.9,24,0.500,29.0
Switzerland,1985,0,0.9,3.4,24,0.500,27.6
UK,1951,81,0.9,9.7,47.2,0.375,NA
UK,1952,86,1.4,6.1,47.2,0.375,NA
UK,1953,104,1.3,1.9,47.2,0.375,NA
UK,1954,114,1,1.9,47.2,0.375,NA
UK,1955,173,0.8,3.1,44,0.375,NA
UK,1956,95,0.9,4.2,44,0.375,NA
UK,1957,380,1.1,2.4,44,0.375,NA
UK,1958,158,1.7,2.9,44,0.375,NA
UK,1959,239,1.7,0.7,41,0.375,NA
UK,1960,135,1.3,1,41,0.375,40.4
UK,1961,134,1.1,3.6,41,0.375,40.1
UK,1962,252,1.6,4.1,41,0.375,40.2
UK,1963,76,2,2.1,41,0.375,40.3
UK,1964,1,1.4,3.2,50.3,0.375,40.3
UK,1965,127,1.2,4.8,50.3,0.375,40.3
UK,1966,103,1.1,3.9,57.8,0.375,39.7
UK,1967,122,2,2.4,57.8,0.375,40.2
UK,1968,207,2.1,4.7,57.8,0.375,40.5
UK,1969,303,2,5.5,57.8,0.375,41.7
UK,1970,488,2.2,6.4,45.7,0.375,44.8
UK,1971,612,2.8,9.4,45.7,0.375,45.3
UK,1972,1080,3.1,7.1,45.7,0.375,46.2
UK,1973,317,2.2,9.2,45.7,0.375,45.5
UK,1974,647,2.1,15.9,47.4,0.375,46.4
UK,1975,265,3.2,24.2,50.2,0.375,48.3
UK,1976,146,4.8,16.5,50.2,0.375,49.4
UK,1977,448,5.2,15.9,50.2,0.375,51.1
UK,1978,413,5.1,8.2,50.2,0.375,51.8
UK,1979,1272,4.6,13.5,42.4,0.375,51.6
UK,1980,520,5.6,18,42.4,0.375,50.7
UK,1981,195,9,11.9,42.4,0.375,49.8
UK,1982,248,10.4,8.6,42.4,0.375,48.7
UK,1983,178,11.2,4.6,32.2,0.375,48.0
UK,1984,1278,11.2,5,32.2,0.375,47.5
UK,1985,298,11.5,6.1,32.2,0.375,46.2
USA,1951,466,3.2,8,51,0.000,NA
USA,1952,1190,2.9,2.2,51,0.000,NA
USA,1953,559,2.8,0.8,49,0.000,NA
USA,1954,456,5.3,0.4,49,0.000,NA
USA,1955,529,4.2,-0.3,51,0.000,NA
USA,1956,616,4,1.5,51,0.000,NA
USA,1957,311,4.2,3.4,51,0.000,NA
USA,1958,438,6.6,2.7,51,0.000,NA
USA,1959,1236,5.3,0.9,65.3,0.000,NA
USA,1960,341,5.4,1.5,65.3,0.000,30.9
USA,1961,284,6.5,1.1,64,0.000,29.5
USA,1962,317,5.4,1.1,64,0.000,29.3
USA,1963,267,5.5,1.2,68,0.000,28.5
USA,1964,385,5,1.3,68,0.000,28.3
USA,1965,379,4.4,1.7,68,0.000,28.2
USA,1966,399,3.7,3,68,0.000,28.2
USA,1967,636,3.7,2.8,64,0.000,27.8
USA,1968,723,3.5,4.2,64,0.000,27.9
USA,1969,615,3.4,5.4,58,0.000,27.3
USA,1970,940,4.8,5.9,58,0.000,27.4
USA,1971,668,5.8,4.3,54,0.000,26.9
USA,1972,366,5.5,3.3,54,0.000,26.3
USA,1973,625,4.8,6.2,56,0.000,23.5
USA,1974,612,5.5,11,56,0.000,23.2
USA,1975,403,8.3,9.1,62,0.000,21.6
USA,1976,298,7.6,5.7,62,0.000,21.6
USA,1977,255,6.9,6.5,61,0.000,23.2
USA,1978,273,6,7.7,61,0.000,22.4
USA,1979,228,5.8,11.3,58,0.000,23.4
USA,1980,232,7,13.5,58,0.000,22.3
USA,1981,186,7.5,10.3,46,0.000,21.0
USA,1982,101,9.5,6.2,46,0.000,20.5
USA,1983,192,9.5,3.2,46,0.000,19.5
USA,1984,89,7.4,4.3,46,0.000,18.2
USA,1985,73,7.1,3.6,47,0.000,17.4
